ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
A50E36BAB709D09E,classic_bike,2021-07-13 07:13:11,2021-07-13 07:33:36,W 100 St & Manhattan Ave,7538.14,Grand Army Plaza & Central Park S,6839.10,40.795,-73.9645,40.7643971,-73.97371465,member
E5C684EDEA6D65EA,classic_bike,2021-07-12 07:09:32,2021-07-12 07:29:16,W 100 St & Manhattan Ave,7538.14,Grand Army Plaza & Central Park S,6839.10,40.795,-73.9645,40.7643971,-73.97371465,member
0EE3197265CC96CA,classic_bike,2021-07-18 11:01:58,2021-07-18 11:10:43,Lefferts Pl & Franklin Ave,4222.02,Baltic St & 5 Ave,4208.11,40.680342423,-73.9557689392,40.6795766,-73.97854971,member
EC9D7FAC55505F99,classic_bike,2021-07-29 07:09:57,2021-07-29 07:30:34,W 100 St & Manhattan Ave,7538.14,Grand Army Plaza & Central Park S,6839.10,40.795,-73.9645,40.7643971,-73.97371465,member
7DA44C05872002A2,classic_bike,2021-07-01 07:10:05,2021-07-01 07:29:01,W 100 St & Manhattan Ave,7538.14,Grand Army Plaza & Central Park S,6839.10,40.795,-73.9645,40.7643971,-73.97371465,member
F316344F588123DE,docked_bike,2021-07-27 16:32:24,2021-07-27 17:57:05,W 100 St & Manhattan Ave,7538.14,Grand Army Plaza & Central Park S,6839.10,40.795,-73.9645,40.764397,-73.973715,casual
01DA19FFEFCDC5A9,classic_bike,2021-07-23 08:56:23,2021-07-23 09:02:52,E 7 St & Avenue A,5626.07,1 Ave & E 18 St,5854.09,40.72621788,-73.98379855,40.733812191966315,-73.98054420948029,member
0A650F93A35CA133,classic_bike,2021-07-11 11:17:10,2021-07-11 11:36:31,Bond St & Fulton St,4479.06,MacDougal St & Prince St,5687.04,40.68962188790333,-73.98304268717766,40.72710258,-74.00297088,member
0A2485F7ECB5BD87,classic_bike,2021-07-18 01:27:27,2021-07-18 01:36:40,Johnson St & Gold St,4668.08,Clinton St & Joralemon St,4605.04,40.69474881,-73.98362464,40.69239502,-73.99337909,member
D716B78B24FC73A3,classic_bike,2021-07-08 09:06:58,2021-07-08 09:21:01,W 84 St & Broadway,7409.08,Grand Army Plaza & Central Park S,6839.10,40.7867947,-73.977112,40.7643971,-73.97371465,member
0669FCE9E523B769,classic_bike,2021-07-27 08:57:39,2021-07-27 09:11:53,W 84 St & Broadway,7409.08,Grand Army Plaza & Central Park S,6839.10,40.7867947,-73.977112,40.7643971,-73.97371465,member
EDF84754CCD21456,classic_bike,2021-07-15 08:57:28,2021-07-15 09:11:37,W 84 St & Broadway,7409.08,Grand Army Plaza & Central Park S,6839.10,40.7867947,-73.977112,40.7643971,-73.97371465,member
509FFC65B5E2CD02,classic_bike,2021-07-24 00:56:09,2021-07-24 01:02:26,Bond St & Fulton St,4479.06,Clinton St & Joralemon St,4605.04,40.68962188790333,-73.98304268717766,40.69239502,-73.99337909,member
1F47728D67BADD1C,docked_bike,2021-07-18 10:58:35,2021-07-18 11:04:43,E 7 St & Avenue A,5626.07,1 Ave & E 18 St,5854.09,40.726218,-73.983799,40.733812,-73.980544,casual
1FA611EAB1DB79FD,classic_bike,2021-07-01 08:56:30,2021-07-01 09:07:15,E 7 St & Avenue A,5626.07,W 16 St & The High Line,6233.05,40.72621788,-73.98379855,40.74334935,-74.00681753,casual
5B2D140B5DE23C01,classic_bike,2021-07-07 20:27:17,2021-07-07 20:35:43,Carroll St & 5 Ave,4060.09,Prospect Pl & 6 Ave,4166.08,40.6751622,-73.9814832,40.6793307,-73.97519523,casual
8D85071F3C84165A,classic_bike,2021-07-01 11:56:50,2021-07-01 12:00:13,Carroll St & 5 Ave,4060.09,Baltic St & 5 Ave,4208.11,40.6751622,-73.9814832,40.6795766,-73.97854971,casual
74B4B9EF959D2CFE,classic_bike,2021-07-22 02:15:09,2021-07-22 02:29:11,E 7 St & Avenue A,5626.07,1 Ave & E 18 St,5854.09,40.72621788,-73.98379855,40.733812191966315,-73.98054420948029,casual
1A72FFA67636506B,classic_bike,2021-07-26 22:43:13,2021-07-26 22:58:40,Carroll St & 5 Ave,4060.09,Clinton St & Joralemon St,4605.04,40.6751622,-73.9814832,40.69239502,-73.99337909,casual
691397D20F78FB6F,classic_bike,2021-07-05 16:40:38,2021-07-05 16:57:39,W 100 St & Manhattan Ave,7538.14,W 47 St & 6 Ave,6667.04,40.795,-73.9645,40.758397,-73.98255,casual
9D826FCB6DF69851,classic_bike,2021-07-23 23:08:34,2021-07-23 23:14:07,Johnson St & Gold St,4668.08,Clinton St & Joralemon St,4605.04,40.69474881,-73.98362464,40.69239502,-73.99337909,casual
AFEFF8FA7F7CEE31,classic_bike,2021-07-25 20:01:08,2021-07-25 20:17:41,E 7 St & Avenue A,5626.07,MacDougal St & Prince St,5687.04,40.72621788,-73.98379855,40.72710258,-74.00297088,casual
9B56864C4F191006,classic_bike,2021-07-02 20:12:44,2021-07-02 20:25:46,Bond St & Fulton St,4479.06,Prospect Pl & 6 Ave,4166.08,40.68962188790333,-73.98304268717766,40.6793307,-73.97519523,member
FC7571A966EDB197,classic_bike,2021-07-22 15:23:23,2021-07-22 15:25:26,E 7 St & Avenue A,5626.07,E 11 St & Avenue B,5659.11,40.72621788,-73.98379855,40.72746420692392,-73.97950418293476,member
3CAF8FA6C68FCFC7,classic_bike,2021-07-13 16:52:39,2021-07-13 17:00:50,Bond St & Fulton St,4479.06,Baltic St & 5 Ave,4208.11,40.68962188790333,-73.98304268717766,40.6795766,-73.97854971,member
D681C47676279AD3,classic_bike,2021-07-18 09:53:10,2021-07-18 10:04:25,E 7 St & Avenue A,5626.07,MacDougal St & Prince St,5687.04,40.72621788,-73.98379855,40.72710258,-74.00297088,member
