minutes,,
7.5,,
5.42,,
7.13,,267.2
8.83,,
8.17,,
10.93,,
223.65,,
8.4,,
12.35,,
25.5,,
24.93,,
15.12,,
5.02,,
4.73,,
1.32,,
16.03,,
29.07,,
200.5,,
7.83,,
11.92,,
7.22,,
36.28,,
44.4,,
80.13,,
5.35,,
12.47,,
11.23,,
228.54,,
4.98,,
6.22,,
13.1,,
16.33,,
18.1,,
12.68,,
13.62,,
14.4,,
17.03,,
4.45,,
8.92,,
28.97,,
24,,
24.3,,
11.22,,
10.1,,
18.07,,
5.37,,
26.85,,
15.32,,
10.15,,
12.3,,
211.7,,
18.73,,
3.77,,
13.58,,
14.62,,
16.43,,
29.2,,
11.22,,
11.32,,
3.47,,
29.65,,
4.88,,
4.98,,
9.45,,
6.1,,
8.2,,
19.22,,
26.52,,
4.82,,
11.27,,
10.98,,
20.42,,
19.73,,
8.75,,
20.62,,
18.93,,
84.68,,
6.48,,
19.35,,
9.22,,
14.05,,
14.23,,
14.15,,
6.28,,
6.13,,
10.75,,
8.43,,
3.38,,
14.03,,
15.45,,
17.02,,
5.55,,
16.55,,
13.03,,
235.05,,
8.18,,
11.25,,
38.28,,
7.53,,
14.12,,
45.73,,
10.62,,
252.88,,
40.33,,
16.63,,
23.5,,
4.9,,
10.4,,
5.77,,
6.05,,
3.8,,
3.73,,
13.58,,
21.73,,
76.15,,
231.5,,
2.33,,
5.83,,
11.03,,
18.35,,
8.73,,
267.2,,
16.1,,
12.32,,
17.78,,
10.13,,
46.98,,
24.18,,
15.07,,
22.57,,
16.7,,
18.17,,
14.33,,
135.03,,
13.75,,
54.62,,
26.5,,
107.72,,
15.78,,
11.8,,
17.1,,
40.45,,
19.97,,
12.65,,
12.02,,
42.92,,
2.55,,
4.23,,
19.1,,
25.27,,
5.75,,
4.28,,
10.82,,
12.38,,
35.13,,
3.28,,
8.97,,
204.8,,
30.95,,
11.53,,
48.28,,
37.42,,
29.12,,
7.5,,
15.9,,
24.93,,
43.67,,
13,,
26.57,,
15.27,,
26.8,,
7.88,,
10.38,,
12.78,,
28.85,,
30.5,,
21.15,,
12.97,,
23.53,,
6.87,,
12.17,,
42.37,,
15.82,,
30.83,,
2.55,,
219.4,,
7.27,,
15.93,,
6.9,,
7.45,,
10.43,,
13.73,,
12.12,,
5.93,,
6.9,,
7.43,,
4.18,,
10.4,,
10.9,,
12.18,,
21.27,,
48.88,,
9.8,,
6.48,,
2.55,,
2.52,,
3.37,,
37.28,,
9.65,,
11.98,,
4.8,,
17.63,,
14.42,,
2.93,,
28.02,,
7.72,,
6.48,,
14.45,,
63.83,,
15.48,,
7.13,,
45.08,,
10.38,,
18.48,,
15.33,,
7.3,,
108.5,,
37.88,,
3.33,,
18.07,,
68.68,,
32.1,,
19.47,,
3.7,,
24.75,,
12.67,,
13.22,,
15.37,,
20,,
3.23,,
18.67,,
17,,
12.57,,
7.8,,
3.92,,
10.27,,
7.73,,
6.8,,
18.23,,
12.03,,
9.37,,
12.98,,
6.22,,
13.78,,
52.4,,
98.18,,
12.63,,
7.15,,
15.88,,
97.8,,
9.77,,
34.87,,
4.92,,
2.25,,
9.92,,
15.05,,
7.97,,
42.13,,
9.43,,
66.47,,
16,,
95.15,,
13.55,,
17.95,,
11.87,,
4.1,,
12.03,,
3.67,,
13.77,,
5.32,,
8.68,,
3.27,,
6.55,,
17.07,,
5.78,,
8.35,,
53.4,,
9.18,,
7.15,,
20.73,,
14.23,,
57.42,,
9.4,,
7.55,,
21.33,,
15.03,,
9.03,,
4.22,,
10.87,,
4.87,,
25.67,,
88.98,,
16.75,,
5.52,,
2.58,,
2.92,,
2.93,,
3.07,,
3.37,,
4.98,,
8.82,,
4,,
5.18,,
5.15,,
4.62,,
28.5,,
3.28,,
7.9,,
4.05,,
4.6,,
5.22,,
4.13,,
2.65,,
16.05,,
20.82,,
14.72,,
17.4,,
7.15,,
3.47,,
6.57,,
13.67,,
50.93,,
64.25,,
29.3,,
7.43,,
44.33,,
30.53,,
28.3,,
10.27,,
17.07,,
35,,
68.12,,
86.7,,
22.47,,
8.58,,
9.05,,
12.83,,
11.47,,
9.67,,
19.35,,
2.72,,
2.85,,
4.28,,
3.03,,
16.75,,
14.82,,
4.53,,
8.72,,
9.98,,
32.33,,
5.97,,
43.1,,
52.6,,
2.73,,
9.93,,
18.37,,
91.75,,
3.33,,
47.75,,
22.47,,
12.52,,
9.07,,
30.32,,
67.92,,
2.88,,
78.85,,
2.72,,
60.35,,
90.87,,
27.33,,
10.62,,
25.03,,
4.15,,
5.4,,
5.87,,
9.5,,
59.33,,
9.23,,
2.27,,
48.58,,
29.57,,
2.38,,
2.52,,
29.52,,
10.13,,
6.58,,
38.77,,
24.98,,
23.58,,
23.3,,
9.18,,
25.55,,
3.98,,
12.17,,
7.22,,
3.75,,
20.88,,
12.25,,
11.45,,
34.2,,
30.47,,
9.78,,
9.2,,
40.67,,
36.72,,
9.1,,
34.18,,
22.47,,
15.43,,
4.5,,
11.15,,
2.45,,
3.05,,
3.17,,
8.42,,
25.93,,
12.95,,
4.13,,
12.75,,
5.42,,
9.47,,
27.2,,
7,,
6.75,,
7.67,,
10.32,,
13.13,,
12.62,,
30.83,,
6.93,,
5.95,,
7.65,,
6.28,,
4.55,,
7.33,,
19.17,,
29,,
4.55,,
13.08,,
23.07,,
12.4,,
3.27,,
2.62,,
6.2,,
22.25,,
4.72,,
3.72,,
2.47,,
4.37,,
4.98,,
8.82,,
14.12,,
4.08,,
6.32,,
7.27,,
2.95,,
21.97,,
14.85,,
15.4,,
4.58,,
8.75,,
24.15,,
12.1,,
17.15,,
14.73,,
40.82,,
20.73,,
10.85,,
2.23,,
10.77,,
18.32,,
26,,
11.87,,
20.42,,
13.37,,
8.55,,
16.28,,
10.85,,
2.5,,
2.37,,
2.32,,
7.57,,
11.4,,
40.6,,
12.95,,
5.02,,
13.38,,
13.87,,
36.47,,
